version,status,timestamp,latitude,longitude,altitude,roll,pitch,heading,latitude_sigma,longitude_sigma,altitude_sigma,roll_sigma,pitch_sigma,heading_sigma,a_sigma,b_sigma,c_sigma,quality,number_of_satellites,hdop
0,0,89147221,37.5774906946,126.897529168,15.8947267532,2.23155593872,-1.09114086628,-131.851226807,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89153839,37.5774901914,126.897529845,15.8942642212,2.23745751381,-1.0827755928,-131.831222534,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89163901,37.5774896844,126.897530521,15.8932857513,2.23997855186,-1.07612931728,-131.815933228,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89173947,37.5774891871,126.897531193,15.8924732208,2.23258733749,-1.06587338448,-131.798233032,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89184779,37.5774886874,126.897531867,15.8918418884,2.23018097878,-1.05808115005,-131.779495239,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89193845,37.5774881939,126.897532539,15.8912172318,2.23464989662,-1.04072058201,-131.765274048,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89203817,37.5774877004,126.89753321,15.8902330399,2.23115491867,-1.01745843887,-131.748214722,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89214639,37.5774872036,126.897533881,15.8894004822,2.22382116318,-0.999410271645,-131.729705811,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89223835,37.5774867135,126.897534551,15.8886117935,2.21877908707,-0.986060380936,-131.714172363,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89233810,37.5774862231,126.897535219,15.8875799179,2.20892429352,-0.965204715729,-131.698822021,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89246991,37.5774857303,126.897535889,15.8866291046,2.20199131966,-0.946469008923,-131.684143066,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89253810,37.5774852434,126.897536556,15.8858203888,2.19746494293,-0.924410104752,-131.669021606,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89263817,37.5774847568,126.897537222,15.8847513199,2.19998598099,-0.899658322334,-131.656646729,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89273883,37.5774842669,126.897537889,15.8836917877,2.19935584068,-0.876281678677,-131.64175415,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89283785,37.5774837832,126.897538554,15.8827791214,2.18623495102,-0.854967594147,-131.625701904,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89293879,37.5774832993,126.897539217,15.8816299438,2.17649483681,-0.837664306164,-131.614135742,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89304362,37.577482813,126.897539881,15.880563736,2.1735727787,-0.814860582352,-131.596542358,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89314012,37.5774823277,126.897540546,15.8794260025,2.17311429977,-0.79303085804,-131.58291626,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89323879,37.5774818472,126.897541206,15.8783016205,2.17506241798,-0.772117912769,-131.570877075,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89333782,37.5774813634,126.897541868,15.8771858215,2.1712808609,-0.751147687435,-131.557418823,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89344701,37.5774808826,126.89754253,15.8761234283,2.16853070259,-0.730864942074,-131.54296875,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89353953,37.5774804047,126.897543187,15.8751249313,2.16285848618,-0.713160574436,-131.530776978,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89363821,37.5774799246,126.897543846,15.8740663528,2.15604019165,-0.699352264404,-131.515762329,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89373797,37.5774794443,126.897544502,15.8732852936,2.15758705139,-0.682048976421,-131.502471924,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89384200,37.5774789695,126.897545155,15.8724470139,2.14973759651,-0.668985545635,-131.490097046,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89393791,37.5774784921,126.897545812,15.8714475632,2.14612793922,-0.660161972046,-131.47845459,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89403766,37.5774780149,126.897546464,15.8707714081,2.14034104347,-0.653515636921,-131.466201782,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89413862,37.5774775429,126.897547115,15.8700742722,2.12630367279,-0.646812081337,-131.448379517,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89423888,37.5774770688,126.897547768,15.8692569733,2.12309503555,-0.645150482655,-131.438644409,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89433762,37.5774765946,126.897548417,15.8687572479,2.1189699173,-0.640853285789,-131.423461914,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89443877,37.5774761256,126.897549065,15.8682289124,2.11908435822,-0.638389587402,-131.412689209,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89454174,37.5774756541,126.897549715,15.8675394058,2.11432886124,-0.63827496767,-131.398925781,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89464580,37.577475183,126.897550361,15.867181778,2.10636472702,-0.64062410593,-131.386322021,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89474000,37.577474717,126.897551005,15.8667926788,2.09645247459,-0.64767152071,-131.375152588,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89484600,37.5774742485,126.897551652,15.8663034439,2.08419132233,-0.654145896435,-131.361236572,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89496526,37.5774737825,126.897552301,15.8663082123,2.07565426826,-0.66136521101,-131.348800659,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89503965,37.5774733194,126.897552942,15.8660850525,2.05892372131,-0.66589152813,-131.340835571,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89514262,37.5774728541,126.897553586,15.8656797409,2.05267858505,-0.669386565685,-131.330810547,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89523914,37.5774723911,126.897554232,15.8657503128,2.03829741478,-0.684226214886,-131.316604614,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89533993,37.5774719311,126.897554871,15.8655977249,2.01457691193,-0.698091804981,-131.310638428,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89545967,37.577471469,126.897555511,15.8654022217,2.00042486191,-0.719062030315,-131.29901123,0,0,0,0,0,0,0,0,0,5,6,0
0,0,89553905,37.5774710095,126.897556154,15.865650177,1.97607409954,-0.74117821455,-131.290649414,0,0,0,0,0,0,0,0,0,5,6,0
